Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Columbia Water & Light - Solar Energy Loans,MO,Financial Incentive,Loan Program,9/19/2014,4/4/2025
City of Kansas City - Green Building Policy for Municipal Buildings,MO,Regulatory Policy,Energy Standards for Public Buildings,11/3/2014,6/23/2024
City of Kansas City - Solar/Wind Easements and Geothermal Access,MO,Regulatory Policy,Solar/Wind Access Policy,11/4/2014,10/22/2023
Liberty Utilities - Solar PV Rebates,MO,Financial Incentive,Rebate Program,5/18/2015,9/19/2023
Ameren Missouri (Electric) - Residential Heating and Cooling Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,3/15/2016,11/7/2024
Spire Energy - Commercial and Industrial Energy Efficiency Rebate Program,MO,Financial Incentive,Rebate Program,5/3/2016,2/10/2025
Show Me PACE,MO,Financial Incentive,PACE Financing,5/5/2016,1/8/2024
City of St. Louis - Green Building Standard,MO,Regulatory Policy,Energy Standards for Public Buildings,10/11/2016,6/18/2024
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,MO,Financial Incentive,Rebate Program,5/20/2018,8/4/2023
Empire District Electric (Gas) - Commercial and Industrial Gas Efficiency Program,MO,Financial Incentive,Rebate Program,7/24/2018,12/3/2024
Evergy Solar Rebate Program,MO,Financial Incentive,Rebate Program,3/12/2021,9/19/2023
Volkswagen Trust Electric Vehicle Charging Infrastructure Program,MO,Financial Incentive,Grant Program,6/9/2021,12/31/2021
Volkswagen Trust Funds - Transit and Shuttle Buses,MO,Financial Incentive,Grant Program,6/9/2021,12/31/2021
Ameren Missouri - Charge Ahead Electric Vehicles Program,MO,Financial Incentive,Rebate Program,8/20/2021,7/3/2023
Missouri - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MO,Financial Incentive,Grant Program,6/13/2024,6/13/2024
N. Mariana Islands - Renewables Portfolio Standard,MP,Regulatory Policy,Renewables Portfolio Standard,1/5/2011,6/27/2024
N. Mariana Islands - Building Energy Code,MP,Regulatory Policy,Building Energy Code,4/5/2011,6/16/2020
N. Mariana Islands - Net Metering,MP,Regulatory Policy,Net Metering,9/26/2014,3/24/2025
MDA - Energy Efficiency Revolving Loan Program,MS,Financial Incentive,Loan Program,1/1/2000,7/3/2025
Building Energy Code,MS,Regulatory Policy,Building Energy Code,7/21/2006,5/23/2023
Southern Pine Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,9/15/2006,8/14/2024
Pearl River Valley Electric Power Association - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,9/19/2006,1/13/2025
Coast Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,9/19/2006,7/1/2025
Singing River Electric Power Association - Comfort Advantage Home Program,MS,Financial Incentive,Rebate Program,6/3/2008,7/1/2025
Mississippi Clean Energy Initiative,MS,Financial Incentive,Industry Recruitment/Support,7/7/2010,2/13/2024
Mississippi Power - Residential & Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,7/22/2010,3/24/2025
Energy Efficiency Standards for State Facilities,MS,Regulatory Policy,Energy Standards for Public Buildings,6/19/2014,6/12/2024
TVA - Residential Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Entergy Mississippi- Residential Energy Efficiency Program,MS,Financial Incentive,Rebate Program,6/29/2015,2/12/2025
Net Metering,MS,Regulatory Policy,Net Metering,12/4/2015,4/6/2025
Interconnection Standards,MS,Regulatory Policy,Interconnection,12/5/2015,1/14/2024
Atmos Energy (Gas) Residential Appliance Rebate Program,MS,Financial Incentive,Rebate Program,3/20/2017,7/2/2025
Atmos Energy (Gas) Industrial and Commercial Rebate Program,MS,Financial Incentive,Rebate Program,3/20/2017,7/2/2025
TVA - Commercial Energy Efficiency Rebate Program,MS,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Entergy Mississippi - eTech Program,MS,Financial Incentive,Rebate Program,8/14/2021,3/24/2025
Mississippi Power - Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,9/3/2023,4/6/2025
Entergy Mississippi - Low-to-Moderate Income Residential Incentive Program,MS,Financial Incentive,Rebate Program,9/3/2023,4/6/2025
Entergy Mississippi - Residential Demand Response Battery Incentive Program,MS,Financial Incentive,Rebate Program,4/12/2024,4/6/2025
Mississippi Power - Battery Storage Incentive Program,MS,Financial Incentive,Rebate Program,4/12/2024,4/6/2025
Mississippi - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MS,Financial Incentive,Grant Program,6/12/2024,6/12/2024
Mandatory Utility Green Power Option,MT,Regulatory Policy,Mandatory Utility Green Power Option,7/17/2003,8/30/2021
Renewable Energy Systems Exemption,MT,Financial Incentive,Property Tax Incentive,1/1/2000,10/28/2024
Montana Solar and Wind Easements,MT,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,12/18/2023
Renewable Resource Standard,MT,Regulatory Policy,Renewables Portfolio Standard,5/12/2005,11/25/2024
Universal System Benefits Program,MT,Regulatory Policy,Public Benefits Fund,1/1/2000,7/30/2021
Corporate Property Tax Reduction for New/Expanded Generating Facilities,MT,Financial Incentive,Property Tax Incentive,10/1/2003,10/28/2024
Alternative Energy Revolving Loan Program,MT,Financial Incentive,Loan Program,7/11/2001,5/9/2023
Interconnection Standards,MT,Regulatory Policy,Interconnection,7/1/2003,5/29/2024
NorthWestern Energy - USB Renewable Energy Fund,MT,Financial Incentive,Rebate Program,8/5/2002,9/10/2024
Generation Facility Corporate Tax Exemptions,MT,Financial Incentive,Property Tax Incentive,10/1/2003,10/28/2024
Deduction For Energy-Conserving Investment,MT,Financial Incentive,Corporate Tax Deduction,6/16/2005,4/1/2025
NorthWestern Energy - Custom Business Efficiency Program,MT,Financial Incentive,Grant Program,6/23/2006,4/4/2025
NorthWestern Energy (Electric) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,6/23/2006,3/27/2025
Building Energy Code,MT,Regulatory Policy,Building Energy Code,7/28/2006,5/21/2025
Flathead Electric Cooperative - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,9/15/2006,3/18/2025
Flathead Electric Cooperative - New and Manufactured Home Incentive Program,MT,Financial Incentive,Rebate Program,9/15/2006,3/18/2025
Flathead Electric Cooperative - Commercial Incentive Programs,MT,Financial Incentive,Rebate Program,9/15/2006,3/18/2025
Yellowstone Valley Electric Cooperative - Residential/Commercial Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,4/4/2007,4/3/2025
Alternative Energy Investment Tax Credit,MT,Financial Incentive,Industry Recruitment/Support,7/29/2001,7/18/2021
Property Tax Abatement for Production and Manufacturing Facilities,MT,Financial Incentive,Industry Recruitment/Support,6/1/2007,7/14/2021
Energy Efficiency Standards for State Buildings,MT,Regulatory Policy,Energy Standards for Public Buildings,4/27/2009,3/12/2024
Montana-Dakota Utilities - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,1/19/2010,6/17/2025
Montana-Dakota Utilities - Commercial Energy Efficiency Incentive Program,MT,Financial Incentive,Rebate Program,1/19/2010,6/17/2025
NorthWestern Energy (Gas) - Commercial Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,6/23/2006,7/21/2025
Net Metering,MT,Regulatory Policy,Net Metering,3/6/2023,2/24/2025
Montana Commercial PACE Financing Program,MT,Financial Incentive,PACE Financing,6/17/2024,6/18/2024
Montana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MT,Financial Incentive,Grant Program,6/18/2024,6/25/2024
Yellowstone Valley Electric Cooperative - Solar Stock Watering System Rebate,MT,Financial Incentive,Rebate Program,9/17/2024,9/17/2024
Active Solar Heating and Cooling Systems Exemption,NC,Financial Incentive,Property Tax Incentive,1/1/2000,10/25/2024
Interconnection Standards,NC,Regulatory Policy,Interconnection,4/19/2005,6/7/2024
Town of Chapel Hill - Energy Conservation Requirements for Town Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,1/1/2000,6/20/2024
Town of Chapel Hill - Land-Use Management Ordinances,NC,Regulatory Policy,Solar/Wind Access Policy,8/11/2004,10/30/2023
Net Metering,NC,Regulatory Policy,Net Metering,10/26/2005,2/28/2025
Building Energy Code,NC,Regulatory Policy,Building Energy Code,7/19/2006,1/31/2024
City of New Bern Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,8/21/2006,8/4/2023
City of Statesville Electric Utility Department - Residential and Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,8/21/2006,8/4/2023
Union Power Cooperative - Residential Energy Efficient Loan Program,NC,Financial Incentive,Loan Program,9/5/2006,4/18/2024
Piedmont EMC - Rate Discount for Energy Star Homes,NC,Financial Incentive,Utility Rate Discount,9/5/2006,5/14/2024
Piedmont EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,9/5/2006,2/6/2025
Lumbee River EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,9/5/2006,5/6/2024
Carteret-Craven Electric Cooperative - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,9/5/2006,4/8/2024
Tideland EMC - Weatherization Loan Program,NC,Financial Incentive,Loan Program,3/15/2007,5/13/2024
North Carolina Solar Rights,NC,Regulatory Policy,Solar/Wind Access Policy,7/31/2007,11/14/2023
Clean Energy and Energy Efficiency Portfolio Standard,NC,Regulatory Policy,Renewables Portfolio Standard,8/6/2007,1/29/2025
Conservation of Energy and Water Use in State Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,9/5/2007,6/20/2024
Ashe County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,10/31/2007,8/15/2023
Watauga County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,11/1/2007,8/11/2023
City of Asheville - Efficiency Standards for City Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,4/26/2007,6/10/2024
Town of Kill Devil Hills - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,2/4/2008,8/15/2023
Property Tax Abatement for Solar Electric Systems,NC,Financial Incentive,Property Tax Incentive,8/11/2008,3/21/2025
Model Wind Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,8/28/2008,8/11/2023
Durham County - High-Performance Building Policy,NC,Regulatory Policy,Energy Standards for Public Buildings,12/9/2008,6/20/2024
Four-County EMC - Residential Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,3/27/2009,5/6/2024
Four-County EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,3/27/2009,5/23/2024
South River EMC - Solar Water Heating Rebate Program,NC,Financial Incentive,Rebate Program,4/20/2009,2/6/2025
Tyrrell County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,5/7/2009,7/22/2024
Hyde County - Wind Energy Facility Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,5/7/2009,8/15/2023
Duke Energy Carolinas - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,6/20/2009,5/2/2024
Duke Energy - Non-Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,6/20/2009,10/8/2024
Lumbee River EMC - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,6/21/2009,4/29/2024
SystemVision Energy Guarantee Program,NC,Financial Incentive,Rebate Program,7/15/2009,5/16/2025
Haywood EMC - Residential Heat Pump and Weatherization Loan Program,NC,Financial Incentive,Loan Program,8/10/2009,5/2/2024
City of High Point Electric - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,8/20/2009,8/4/2023
Dominion Energy (Gas) - Energy-Efficient Appliance Rebate Program,NC,Financial Incentive,Rebate Program,10/2/2009,5/6/2024
South River EMC - Energy Efficient New Homes Rebate Program,NC,Financial Incentive,Rebate Program,12/7/2009,5/6/2024
South River EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,12/17/2009,4/29/2024
Carteret County - Wind Energy System Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,1/11/2010,8/11/2023
Pitt County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,4/8/2010,8/11/2023
Piedmont Natural Gas - Residential Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,5/6/2010,8/4/2023
Piedmont Natural Gas - Commercial Equipment Efficiency Program,NC,Financial Incentive,Rebate Program,5/6/2010,8/4/2023
Madison County - Wind Energy Systems Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,9/9/2010,6/27/2024
Piedmont EMC - Residential Solar and Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,1/12/2011,5/13/2024
Town of Carrboro - Worthwhile Investments Save Energy (WISE) Homes and Buildings Program,NC,Financial Incentive,Loan Program,1/21/2011,5/16/2025
City of Concord Electric Department - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,4/9/2012,8/4/2023
Jones-Onslow EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,8/2/2012,8/4/2023
Wind Energy Permitting Standards,NC,Regulatory Policy,Solar/Wind Permitting Standards,6/18/2013,8/11/2023
Template Solar Energy Development Ordinance,NC,Regulatory Policy,Solar/Wind Permitting Standards,1/9/2014,8/11/2023
TVA - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,3/5/2015,10/16/2023
Blue Ridge EMC - Net Metering,NC,Regulatory Policy,Net Metering,12/17/2015,5/22/2025
EnergyUnited (Electric) - Residential Energy Efficiency Program,NC,Financial Incentive,Rebate Program,6/11/2019,5/30/2024
EnergyUnited Commercial Lighting Program,NC,Financial Incentive,Rebate Program,6/11/2019,2/6/2025
TVA - Commercial Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,6/2/2020,10/16/2023
Clean Fuel Advanced Technology (CFAT) Project,NC,Financial Incentive,Grant Program,6/11/2021,5/16/2025
Cape Hatteras Electric Cooperative - ChargePoint Electric Vehicle Charger Residential Rebate,NC,Financial Incentive,Rebate Program,9/5/2021,5/16/2025
Randolph EMC - ElecTel Energy Efficiency Loan Program,NC,Financial Incentive,Loan Program,6/6/2022,8/4/2023
North Carolina Community Solar Rules,NC,Regulatory Policy,Community Solar Rules,6/24/2022,5/22/2025
Energy United - Residential Heat Pump Rebate,NC,Financial Incentive,Rebate Program,6/2/2023,2/20/2025
Duke Energy - EV Charger Prep Credit Program,NC,Financial Incentive,Rebate Program,9/7/2023,9/8/2023
Duke Energy - PowerPair,NC,Financial Incentive,Rebate Program,5/9/2024,6/19/2025
Duke Energy - Improve & Save,NC,Financial Incentive,Loan Program,5/10/2024,5/10/2024
Offshore Wind Energy Goal,NC,Regulatory Policy,Offshore Wind Energy Target,5/24/2024,5/28/2024
North Carolina - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NC,Financial Incentive,Grant Program,6/21/2024,6/21/2024
Local Option - Commercial Property Assessed Capital Expenditure (C-PACE),NC,Financial Incentive,PACE Financing,7/12/2024,7/12/2024
City of Charlotte - Green Building Policy for Municipal Buildings,NC,Regulatory Policy,Energy Standards for Public Buildings,7/16/2024,7/16/2024
North Carolina - Home Electrification and Appliance Rebate (HEAR) Program,NC,Financial Incentive,Rebate Program,1/16/2025,1/16/2025
North Carolina - Home Efficiency Rebate (HER) Program,NC,Financial Incentive,Rebate Program,1/16/2025,1/16/2025
North Dakota Solar/Wind Easements and Laws,ND,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,12/19/2023
Renewable Energy Property Tax Exemption,ND,Financial Incentive,Property Tax Incentive,1/1/2000,10/28/2024
Net Metering,ND,Regulatory Policy,Net Metering,1/1/2000,2/24/2025
Building Energy Code,ND,Regulatory Policy,Building Energy Code,8/2/2006,5/23/2023
Northern Plains EC - Commercial Energy Efficiency Loan Program,ND,Financial Incentive,Loan Program,3/15/2007,8/20/2024
Renewable and Recycled Energy Objective,ND,Regulatory Policy,Renewables Portfolio Standard,8/24/2007,11/26/2024
Otter Tail Power Company - Energy Efficiency Rebate Program,ND,Financial Incentive,Rebate Program,11/17/2008,4/26/2024
Xcel Energy - Residential Energy Efficiency Rebate Programs,ND,Financial Incentive,Rebate Program,6/12/2006,6/16/2025
Sales and Use Tax Exemption for Electrical Generating Facilities,ND,Financial Incentive,Sales Tax Incentive,9/1/2011,12/9/2024
Sales Tax Exemption for Hydrogen Generation Facilities,ND,Financial Incentive,Sales Tax Incentive,9/1/2011,12/4/2024
Sales and Use Tax Exemption for Gas Processing Facilities,ND,Financial Incentive,Sales Tax Incentive,9/1/2011,12/4/2024
Residential Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,2/3/2012,11/8/2023
Business Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,2/3/2012,2/20/2025
Commercial Energy Efficiency Rebates (Offered by 5 Utilities),ND,Financial Incentive,Rebate Program,11/14/2023,11/14/2023
Interconnection Standards,ND,Regulatory Policy,Interconnection,6/10/2024,6/10/2024
North Dakota - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ND,Financial Incentive,Grant Program,6/18/2024,6/25/2024
Dollar and Energy Savings Loans,NE,Financial Incentive,Loan Program,1/1/2000,10/11/2024
Nebraska Solar and Wind Easements,NE,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,11/5/2023
Building Energy Code,NE,Regulatory Policy,Building Energy Code,8/2/2006,4/28/2023
Omaha Public Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,8/21/2006,5/6/2024
Sales and Use Tax Exemption for Community Renewable Energy Projects,NE,Financial Incentive,Sales Tax Incentive,5/31/2007,12/12/2024
Nebraska Public Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,3/31/2009,3/28/2025
Nebraska Public Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,4/1/2009,2/18/2025
Lincoln Electric System - Sustainable Energy Program,NE,Financial Incentive,Rebate Program,4/6/2009,7/8/2025
Net Metering,NE,Regulatory Policy,Net Metering,5/19/2009,3/10/2025
Interconnection Guidelines,NE,Regulatory Policy,Interconnection,5/19/2009,6/10/2024
Southern Power District - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,8/20/2009,2/17/2025
MidAmerican Energy (Gas) - Residential Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,6/3/2010,5/6/2024
Property Tax Exemption for Renewable Energy Generation Facilities,NE,Financial Incentive,Property Tax Incentive,8/3/2011,11/12/2024
Sales and Use Tax Exemption for Renewable Energy Property,NE,Financial Incentive,Sales Tax Incentive,7/12/2013,12/10/2024
Local Option - Property-Assessed Clean Energy Financing,NE,Financial Incentive,PACE Financing,4/1/2016,12/27/2023
Omaha City - Wind Energy Conservation System Requirements,NE,Regulatory Policy,Solar/Wind Permitting Standards,11/15/2016,8/16/2023
Southern Power District - Commercial Energy Efficiency Rebate Programs,NE,Financial Incentive,Rebate Program,8/2/2018,2/17/2025
Southern Public Power District - Electric Vehicle Incentives,NE,Financial Incentive,Rebate Program,8/20/2021,6/9/2025
Nebraska Public Power District - Go EV,NE,Financial Incentive,Rebate Program,6/21/2022,6/11/2025
Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,NH,Financial Incentive,Property Tax Incentive,1/1/2000,6/7/2024
Net Metering,NH,Regulatory Policy,Net Metering,1/1/2000,2/24/2025
Fuel Mix and Environmental Characteristics Disclosure,NH,Regulatory Policy,Generation Disclosure,1/1/2000,8/9/2023
Interconnection Standards,NH,Regulatory Policy,Interconnection,8/14/2002,1/14/2024
Unitil (Electric) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,4/18/2006,3/14/2025
Unitil (Electric) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,4/18/2006,9/6/2024
Liberty Utilities (Electric) - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,4/19/2006,7/8/2024
Liberty Utilities (Electric) - Commercial Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,4/19/2006,9/5/2024
Liberty Utilities (Gas) - Commercial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,4/20/2006,6/26/2025
Building Energy Code,NH,Regulatory Policy,Building Energy Code,7/27/2006,5/23/2023
Building Requirements for State-Funded Buildings,NH,Regulatory Policy,Energy Standards for Public Buildings,7/30/2006,7/5/2024
New Hampshire Electric Co-op - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,9/14/2006,3/13/2025
New Hampshire Electric Co-op - Commercial and Municipal Retrofit Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,9/15/2006,7/18/2025
New Hampshire Electric Co-op - Commercial and Municipal New Equipment and Construction Program,NH,Financial Incentive,Rebate Program,9/15/2006,7/26/2023
System Benefits Charge,NH,Regulatory Policy,Public Benefits Fund,9/25/2006,1/18/2024
Eversource - Residential Energy Efficiency Rebate Program,NH,Financial Incentive,Rebate Program,1/16/2007,5/14/2024
Renewable Portfolio Standard,NH,Regulatory Policy,Renewables Portfolio Standard,5/14/2007,11/26/2024
Business Energy Efficiency Loan Program,NH,Financial Incentive,Loan Program,11/18/2009,6/11/2025
Residential Bulk-Fed Wood-Pellet Central Boilers and Furnace Rebate Program,NH,Financial Incentive,Rebate Program,7/13/2010,5/30/2025
Local Option - Energy Efficiency & Clean Energy Districts,NH,Financial Incentive,PACE Financing,7/15/2010,1/16/2024
Commercial & Industrial Solar Rebate Program,NH,Financial Incentive,Rebate Program,11/22/2010,5/30/2025
Eversource - Commercial New Construction Energy Efficiency Rebate Program,NH,Financial Incentive,Rebate Program,1/4/2007,9/4/2024
Standards for Municipal Small Wind Regulations and Model Ordinance,NH,Regulatory Policy,Solar/Wind Permitting Standards,1/1/2010,5/26/2023
New Hampshire - Solar Access Laws,NH,Regulatory Policy,Solar/Wind Access Policy,3/4/2011,5/26/2023
Unitil (Gas) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,12/27/2007,3/14/2025
Unitil (Gas) - Residential Energy Efficiency Program,NH,Financial Incentive,Rebate Program,4/18/2006,5/14/2024
Commercial & Industrial Renewable Energy Grants,NH,Financial Incentive,Grant Program,2/8/2012,6/7/2024
New Hampshire Electric Co-op - Residential Energy Efficiency Loan,NH,Financial Incentive,Loan Program,7/14/2015,6/2/2025
Energy Efficiency Resource Standard,NH,Regulatory Policy,Energy Efficiency Resource Standard,10/6/2016,6/23/2025
Liberty Utilities (Gas) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,5/14/2019,6/26/2025
New Hampshire Electric Cooperative - Electric Vehicle Rebates,NH,Financial Incentive,Rebate Program,8/20/2021,3/24/2025
New Hampshire Community Solar Rules,NH,Regulatory Policy,Community Solar Rules,6/22/2022,3/4/2025
Low-Moderate Income Solar Renewable Energy Grant,NH,Financial Incentive,Grant Program,2/22/2023,6/7/2024
Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program,NH,Financial Incentive,Rebate Program,2/28/2023,5/30/2025
Clean Energy Fund,NH,Financial Incentive,Loan Program,3/7/2023,6/11/2025
New Hampshire State Clean Diesel Program,NH,Financial Incentive,Grant Program,5/25/2023,6/6/2024
Granite State Clean Fleets (GSCF),NH,Financial Incentive,Grant Program,7/13/2023,6/6/2024
Eversource - Home Battery Storage Rebate,NH,Financial Incentive,Rebate Program,12/12/2023,12/12/2023
Eversource - New Hampshire Residential Clean Energy Loan,NH,Financial Incentive,Loan Program,12/12/2023,6/11/2025
New Hampshire - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NH,Financial Incentive,Grant Program,6/12/2024,6/12/2024
Net Metering,NJ,Regulatory Policy,Net Metering,1/1/2000,7/14/2025
Societal Benefits Charge,NJ,Regulatory Policy,Public Benefits Fund,1/1/2000,7/26/2021
Solar Energy Sales Tax Exemption,NJ,Financial Incentive,Sales Tax Incentive,1/1/2000,1/6/2025
Renewables Portfolio Standard,NJ,Regulatory Policy,Renewables Portfolio Standard,5/7/2001,1/6/2025
Environmental Information Disclosure,NJ,Regulatory Policy,Generation Disclosure,5/7/2001,8/10/2023
Interconnection Standards,NJ,Regulatory Policy,Interconnection,6/18/2003,5/22/2024
South Jersey Gas - Residential Loan Program,NJ,Financial Incentive,Loan Program,5/7/2006,8/11/2023
New Jersey Appliance and Equipment Energy Efficiency Standards,NJ,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/2/2006,10/28/2024
Building Energy Code,NJ,Regulatory Policy,Building Energy Code,7/26/2006,5/21/2025
High Performance Schools Policy,NJ,Regulatory Policy,Energy Standards for Public Buildings,8/1/2006,6/25/2024
New Jersey SmartStart Buildings - New Construction and Retrofits,NJ,Financial Incentive,Rebate Program,12/1/2006,6/9/2023
South Jersey Gas - Residential Energy Efficiency Rebate Program,NJ,Financial Incentive,Rebate Program,6/25/2007,8/11/2023
New Jersey Solar Easement and Access Laws,NJ,Regulatory Policy,Solar/Wind Access Policy,9/20/2007,11/3/2023
New Jersey Comfort Partners Program,NJ,Financial Incentive,Rebate Program,3/17/2008,6/10/2025
High Performance Building Standards in New State Construction,NJ,Regulatory Policy,Energy Standards for Public Buildings,7/18/2008,6/13/2024
Property Tax Exemption for Renewable Energy Systems,NJ,Financial Incentive,Property Tax Incentive,10/24/2008,3/14/2025
Edison Innovation Clean Energy Manufacturing Fund - Grants and Loans,NJ,Financial Incentive,Industry Recruitment/Support,2/11/2009,7/16/2021
Pay for Performance Program,NJ,Financial Incentive,Rebate Program,4/6/2009,6/9/2023
New Jersey Natural Gas - SAVEGREEN Residential Rebate Program,NJ,Financial Incentive,Rebate Program,11/11/2009,10/1/2024
PSE&G - Residential Efficiency Program,NJ,Financial Incentive,Rebate Program,1/15/2010,2/18/2025
Solar and Wind Permitting Laws,NJ,Regulatory Policy,Solar/Wind Permitting Standards,1/22/2010,5/24/2024
Solar Energy Option Requirement for Residential Developments,NJ,Regulatory Policy,Building Energy Code,4/1/2009,6/17/2020
Assessment of Farmland Hosting Renewable Energy Systems,NJ,Financial Incentive,Property Tax Incentive,3/16/2010,3/18/2025
Wind Manufacturing Tax Credit,NJ,Financial Incentive,Industry Recruitment/Support,9/27/2010,3/29/2023
Edison Innovation Green Growth Fund Loans,NJ,Financial Incentive,Industry Recruitment/Support,5/25/2011,7/18/2021
PSE&G - Government and Non-Profit Facility Direct Install Efficiency Program,NJ,Financial Incentive,Grant Program,1/15/2010,8/11/2023
Local Option - Property Assessed Clean Energy Financing,NJ,Financial Incentive,PACE Financing,2/15/2012,12/21/2023
Small Scale CHP and Fuel Cell Incentive Program,NJ,Financial Incentive,Grant Program,6/14/2012,11/18/2022
Local Energy Audit Program,NJ,Financial Incentive,Rebate Program,10/14/2014,6/9/2023
Large Energy Users Program,NJ,Financial Incentive,Rebate Program,10/14/2014,6/9/2023
New Jersey Natural Gas- SAVEGREEN Commercial On-Bill Financing Program,NJ,Financial Incentive,Loan Program,4/6/2015,8/11/2023
NJ Clean Energy- Residential New Construction Program,NJ,Financial Incentive,Rebate Program,7/24/2015,7/18/2022
Energy Efficiency Resource Standard,NJ,Regulatory Policy,Energy Efficiency Resource Standard,6/7/2018,10/25/2024
Renewable Electric Storage Program,NJ,Financial Incentive,Rebate Program,6/19/2019,6/9/2023
Energy Storage Procurement Target,NJ,Regulatory Policy,Energy Storage Target,2/26/2020,1/6/2025
It Pay$ to Plug in Program,NJ,Financial Incentive,Grant Program,6/10/2021,12/31/2021
Clean Fleet EV Incentive Program,NJ,Financial Incentive,Grant Program,6/10/2021,6/1/2023
